finish_time,type,wave_id,is_delayed,date,workstation,total_in_wave,deadline_ts
2025-07-01 00:05:58,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_1,3457,0
2025-07-01 00:07:59,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_10,3457,0
2025-07-01 00:05:39,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_6,3457,0
2025-07-01 00:07:52,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_16,3457,0
2025-07-01 00:07:50,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_13,3457,0
2025-07-01 00:05:34,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_4,3457,0
2025-07-01 00:05:35,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_5,3457,0
2025-07-01 00:07:58,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_12,3457,0
2025-07-01 00:05:09,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_7,3457,0
2025-07-01 00:05:39,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_8,3457,0
2025-07-01 00:05:30,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_3,3457,0
2025-07-01 00:06:00,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_2,3457,0
2025-07-01 00:06:19,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_7,3457,0
2025-07-01 00:08:26,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_11,3457,0
2025-07-01 00:08:39,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_9,3457,0
2025-07-01 00:08:24,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_14,3457,0
2025-07-01 00:09:08,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_12,3457,0
2025-07-01 00:08:35,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_16,3457,0
2025-07-01 00:08:59,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_13,3457,0
2025-07-01 00:09:48,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_15,3457,0
2025-07-01 00:06:37,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_3,3457,0
2025-07-01 00:08:56,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_10,3457,0
2025-07-01 00:09:37,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_14,3457,0
2025-07-01 00:06:02,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_4,3457,0
2025-07-01 00:09:43,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_11,3457,0
2025-07-01 00:10:02,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_9,3457,0
2025-07-01 00:09:36,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_16,3457,0
2025-07-01 00:10:19,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_10,3457,0
2025-07-01 00:06:32,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_5,3457,0
2025-07-01 00:09:45,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_12,3457,0
2025-07-01 00:06:20,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_6,3457,0
2025-07-01 00:06:16,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_8,3457,0
2025-07-01 00:09:58,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_13,3457,0
2025-07-01 00:07:05,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_1,3457,0
2025-07-01 00:07:38,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_2,3457,0
2025-07-01 00:07:19,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_4,3457,0
2025-07-01 00:09:48,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_11,3457,0
2025-07-01 00:10:12,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_9,3457,0
2025-07-01 00:07:14,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_7,3457,0
2025-07-01 00:07:20,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_5,3457,0
2025-07-01 00:10:46,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_14,3457,0
2025-07-01 00:07:10,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_6,3457,0
2025-07-01 00:06:49,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_8,3457,0
2025-07-01 00:07:54,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_3,3457,0
2025-07-01 00:07:49,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_1,3457,0
2025-07-01 00:10:27,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_15,3457,0
2025-07-01 00:10:25,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_16,3457,0
2025-07-01 00:07:40,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_8,3457,0
2025-07-01 00:07:50,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_7,3457,0
2025-07-01 00:07:32,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_6,3457,0
2025-07-01 00:10:46,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_11,3457,0
2025-07-01 00:11:08,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_12,3457,0
2025-07-01 00:08:19,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_5,3457,0
2025-07-01 00:08:52,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_4,3457,0
2025-07-01 00:08:38,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_2,3457,0
2025-07-01 00:08:18,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_6,3457,0
2025-07-01 00:11:04,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_10,3457,0
2025-07-01 00:11:10,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_13,3457,0
2025-07-01 00:11:40,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_9,3457,0
2025-07-01 00:11:36,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_15,3457,0
2025-07-01 00:08:48,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_3,3457,0
2025-07-01 00:11:20,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_16,3457,0
2025-07-01 00:11:04,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_11,3457,0
2025-07-01 00:11:22,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_14,3457,0
2025-07-01 00:12:17,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_9,3457,0
2025-07-01 00:12:07,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_10,3457,0
2025-07-01 00:08:33,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_8,3457,0
2025-07-01 00:12:03,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_12,3457,0
2025-07-01 00:08:52,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_1,3457,0
2025-07-01 00:11:26,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_13,3457,0
2025-07-01 00:12:16,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_11,3457,0
2025-07-01 00:08:45,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_7,3457,0
2025-07-01 00:08:57,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_6,3457,0
2025-07-01 00:08:47,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_5,3457,0
2025-07-01 00:09:35,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_2,3457,0
2025-07-01 00:09:41,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_4,3457,0
2025-07-01 00:11:51,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_16,3457,0
2025-07-01 00:11:52,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_15,3457,0
2025-07-01 00:09:01,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_8,3457,0
2025-07-01 00:12:22,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_13,3457,0
2025-07-01 00:09:46,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_3,3457,0
2025-07-01 00:09:13,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_7,3457,0
2025-07-01 00:10:07,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_6,3457,0
2025-07-01 00:12:41,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_14,3457,0
2025-07-01 00:12:16,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_12,3457,0
2025-07-01 00:09:24,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_1,3457,0
2025-07-01 00:12:28,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_15,3457,0
2025-07-01 00:09:37,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_5,3457,0
2025-07-01 00:13:22,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_16,3457,0
2025-07-01 00:09:32,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_8,3457,0
2025-07-01 00:10:23,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_1,3457,0
2025-07-01 00:13:00,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_9,3457,0
2025-07-01 00:09:58,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_7,3457,0
2025-07-01 00:10:15,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_2,3457,0
2025-07-01 00:12:55,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_11,3457,0
2025-07-01 00:13:00,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_12,3457,0
2025-07-01 00:10:30,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_5,3457,0
2025-07-01 00:10:07,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_4,3457,0
2025-07-01 00:10:26,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_3,3457,0
2025-07-01 00:10:47,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_8,3457,0
2025-07-01 00:13:13,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_10,3457,0
2025-07-01 00:11:00,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_6,3457,0
2025-07-01 00:11:09,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_4,3457,0
2025-07-01 00:13:16,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_15,3457,0
2025-07-01 00:13:39,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_9,3457,0
2025-07-01 00:11:27,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_7,3457,0
2025-07-01 00:13:36,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_13,3457,0
2025-07-01 00:13:30,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_14,3457,0
2025-07-01 00:13:00,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_11,3457,0
2025-07-01 00:14:00,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_16,3457,0
2025-07-01 00:14:28,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_10,3457,0
2025-07-01 00:14:27,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_12,3457,0
2025-07-01 00:11:43,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_2,3457,0
2025-07-01 00:14:08,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_11,3457,0
2025-07-01 00:14:36,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_15,3457,0
2025-07-01 00:14:24,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_14,3457,0
2025-07-01 00:14:06,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_9,3457,0
2025-07-01 00:10:49,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_1,3457,0
2025-07-01 00:14:35,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_13,3457,0
2025-07-01 00:11:29,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_5,3457,0
2025-07-01 00:14:34,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_16,3457,0
2025-07-01 00:15:27,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_9,3457,0
2025-07-01 00:11:59,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_3,3457,0
2025-07-01 00:14:58,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_11,3457,0
2025-07-01 00:14:50,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_12,3457,0
2025-07-01 00:11:22,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_1,3457,0
2025-07-01 00:16:10,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_10,3457,0
2025-07-01 00:11:26,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_8,3457,0
2025-07-01 00:16:14,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_15,3457,0
2025-07-01 00:11:41,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_4,3457,0
2025-07-01 00:12:35,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_6,3457,0
2025-07-01 00:15:38,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_16,3457,0
2025-07-01 00:15:20,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_14,3457,0
2025-07-01 00:15:17,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_13,3457,0
2025-07-01 00:12:05,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_7,3457,0
2025-07-01 00:15:15,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_11,3457,0
2025-07-01 00:16:05,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_12,3457,0
2025-07-01 00:16:18,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_9,3457,0
2025-07-01 00:16:28,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_14,3457,0
2025-07-01 00:12:32,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_1,3457,0
2025-07-01 00:16:43,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_13,3457,0
2025-07-01 00:11:45,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_5,3457,0
2025-07-01 00:12:37,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_2,3457,0
2025-07-01 00:12:49,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_4,3457,0
2025-07-01 00:16:19,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_11,3457,0
2025-07-01 00:12:32,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_8,3457,0
2025-07-01 00:16:09,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_16,3457,0
2025-07-01 00:16:59,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_10,3457,0
2025-07-01 00:16:40,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_15,3457,0
2025-07-01 00:17:00,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_12,3457,0
2025-07-01 00:17:12,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_16,3457,0
